Ingredient,Calories,Proteins,Carbohydrates,Fats
Spaghetti,3,0.13,0.747,0.0151
Pilchards,0,0.0,0.0,0.0
Black Olives,1,0.0084,0.0604,0.109
Flour,3,0.103,0.763,0.0098
Butter,7,0.0085,0.0006,0.8109999999999999
Cheese,4,0.2289999999999999,0.0337,0.3329999999999999
Parmesan Cheese,3,0.358,0.0322,0.25
Plum tomatoes,0,0.0088,0.0389,0.002
Honey,3,0.003,0.8240000000000001,0.0
Butter Beans,1,0.0684,0.2019999999999999,0.0086
Tomatoes,0,0.0088,0.0389,0.002
Chicken Thighs,2,0.165,0.0025,0.166
Cayenne Pepper,3,0.12,0.5660000000000001,0.173
Greek Yogurt,0,0.073,0.033,0.053
Cumin,3,0.178,0.442,0.223
Sugar,3,0.0,1.0,0.0
Onion,0,0.011,0.0934,0.001
Swede,0,0.0108,0.0862,0.0016
Salt,0,0.0,0.0,0.0
Breadcrumbs,3,0.134,0.72,0.053
Water,0,0.0,0.0,0.0
Muscovado Sugar,3,0.0012,0.981,0.0
Plain Flour,3,0.103,0.763,0.0098
Ground Almonds,5,0.212,0.216,0.499
Lamb,6,0.0626999999999999,0.0,0.6890000000000001
Rice,3,0.0661,0.793,0.0058
Chicken Stock,0,0.0252,0.0353,0.012
olive oil,8,0.0,0.0,1.0
mozzarella balls,2,0.222,0.024,0.221
baby plum tomatoes,0,0.0088,0.0389,0.002
farfalle,3,0.13,0.747,0.0151
Green Olives,1,0.0103,0.0384,0.153
tuna,1,0.244,0.0,0.0049
Vanilla Extract,2,0.0006,0.126,0.0006
Sushi Rice,3,0.0661,0.793,0.0058
Rice wine,1,0.005,0.05,0.0
Peanut Cookies,4,0.0525,0.6586,0.2208
Ricotta,1,0.0754,0.0727,0.102
Peanut Butter,5,0.222,0.223,0.514
Golden Syrup,3,0.0,0.8390000000000001,0.0
Milk,0,0.0315,0.048,0.0325
Double Cream,3,0.0283999999999999,0.0283999999999999,0.361
Puff Pastry,5,0.073,0.451,0.381
Caster Sugar,3,0.0,1.0,0.0
Corn Flour,3,0.0846,0.766,0.0369
Whole Milk,0,0.0315,0.048,0.0325
Sunflower Oil,8,0.0,0.0,1.0
Spinach,0,0.0286,0.0363,0.0039
Hotsauce,0,0.0,0.0,0.0
Plain chocolate,4,0.042,0.639,0.3
Granulated Sugar,3,0.0,1.0,0.0
Red Wine,0,0.0007,0.0260999999999999,0.0
Basil,0,0.0315,0.0265,0.0064
Marjoram,2,0.127,0.606,0.0704
Diced Tomatoes,0,0.0079,0.0347,0.0025
Potatoes,0,0.0204999999999999,0.175,0.0009
Hazlenuts,0,0.0,0.0,0.0
Blackberrys,0,0.0139,0.0960999999999999,0.0049
Yogurt,0,0.0347,0.0466,0.0325
Peanuts,5,0.258,0.161,0.492
Chilli,0,0.0187,0.0881,0.0044
Prawns,0,0.136,0.0091,0.0101
Cabbage,0,0.0128,0.0579999999999999,0.001
Chinese Broccoli,0,0.0282,0.0664,0.0037
Chickpeas,3,0.205,0.63,0.0604
Paprika,2,0.141,0.54,0.129
Sour Cream,1,0.0244,0.0463,0.1939999999999999
Carrots,0,0.0093,0.0958,0.0024
Passata,0,0.0165,0.0898,0.0021
Tahini,5,0.17,0.212,0.538
Green Beans,0,0.0183,0.0697,0.0022
Duck Sauce,2,0.0036,0.6070000000000001,0.0013
Garlic,1,0.0636,0.331,0.005
Ginger,0,0.0182,0.178,0.0075
Butternut Squash,0,0.01,0.1169999999999999,0.001
Linguine Pasta,3,0.13,0.747,0.0151
Red Chilli,0,0.0187,0.0881,0.0044
Cream Cheese,3,0.0615,0.0552,0.344
Udon Noodles,3,0.13,0.747,0.0151
Tiger Prawns,0,0.136,0.0091,0.0101
Dry White Wine,0,0.0007,0.026,0.0
Chopped Tomatoes,0,0.0088,0.0389,0.002
Fish Stock,0,0.0226,0.0,0.0081
White Flour,3,0.103,0.763,0.0098
Yeast,3,0.4039999999999999,0.412,0.0761
Vegetable Oil,8,0.0,0.0,1.0
Brown Sugar,3,0.0012,0.981,0.0
Dried Fruit,2,0.0361,0.613,0.0076
Oil,8,0.0,0.0,1.0
Unsalted Butter,7,0.0085,0.0006,0.8109999999999999
Beef Stock,0,0.0197,0.012,0.0009
Gruyère,4,0.298,0.0036,0.3229999999999999
almond extract,2,0.0006,0.126,0.0006
Self-raising Flour,3,0.103,0.763,0.0098
Suet,8,0.015,0.0,0.94
Raspberry Jam,2,0.0037,0.6890000000000001,0.0007
Minced Pork,1,0.197,0.0,0.126
Vegetable Stock,0,0.00030342269,0.0015030717699999,0.00037668371
Shortcrust Pastry,5,0.073,0.451,0.381
Bacon,3,0.1369999999999999,0.0,0.371
garam masala,2,0.0609,0.721,0.0868999999999999
Quinoa,3,0.141,0.642,0.0607
Chicken Breast,1,0.225,0.0,0.0262
Feta,2,0.142,0.0388,0.215
Allspice,2,0.0609,0.721,0.0868999999999999
Pepper,2,0.104,0.64,0.0326
Cherry Tomatoes,0,0.0088,0.0389,0.002
Salmon,2,0.204,0.0,0.134
Mushrooms,0,0.0309,0.0326,0.0034
Chestnuts,1,0.0163,0.442,0.0125
Wild Mushrooms,0,0.0149,0.0686,0.0053
White Wine,0,0.0007,0.026,0.0
Lasagne Sheets,3,0.13,0.747,0.0151
Pork,1,0.197,0.0,0.126
Soy Sauce,0,0.0814,0.0493,0.0056999999999999
Starch,3,0.0026,0.913,0.0005
Tomato Puree,0,0.0163999999999999,0.0729,0.0028
Vinegar,0,0.0,0.0004,0.0
Coriander,2,0.124,0.55,0.178
Digestive Biscuits,4,0.069,0.741,0.138
Condensed Milk,3,0.0791,0.544,0.087
Icing Sugar,3,0.0,0.998,0.0
Cinnamon,2,0.0399,0.8059999999999999,0.0124
Tomato Purée,0,0.0165,0.0898,0.0021
Harissa Spice,0,0.009,0.039,0.006
Vegetable Stock Cube,0,0.00030342269,0.0015030717699999,0.00037668371
Lentils,3,0.246,0.634,0.0106
Currants,2,0.0343,0.77,0.0022
Sweetcorn,0,0.0327,0.187,0.0135
macaroni,3,0.13,0.747,0.0151
heavy cream,3,0.0283999999999999,0.0283999999999999,0.361
cheddar cheese,4,0.2289999999999999,0.0337,0.3329999999999999
Ginger paste,0,0.0182,0.178,0.0075
Turmeric powder,3,0.0968,0.6709999999999999,0.0325
Chilli powder,2,0.135,0.497,0.143
Sesame Seed Oil,8,0.0,0.0,1.0
Celery,0,0.0069,0.0297,0.0017
Braeburn Apples,0,0.0026,0.138,0.0017
Demerara Sugar,3,0.0012,0.981,0.0
Sesame Seed,5,0.177,0.2339999999999999,0.497
Sake,1,0.005,0.05,0.0
Potato starch,3,0.0026,0.913,0.0005
Lemon,0,0.011,0.0932,0.003
Smoked Paprika,2,0.141,0.54,0.129
Chili Powder,2,0.135,0.497,0.143
Cocoa,2,0.196,0.579,0.1369999999999999
Sea Salt,0,0.0,0.0,0.0
Cashews,5,0.182,0.302,0.438
Apple Cider Vinegar,0,0.0,0.0093,0.0
Lamb Shoulder,2,0.166,0.0,0.214
Dark Chocolate,5,0.0779,0.459,0.426
Milk Chocolate,5,0.0765,0.594,0.297
Salted Butter,7,0.0085,0.0006,0.8109999999999999
Light Brown Soft Sugar,3,0.0,1.0,0.0
Raspberries,0,0.012,0.119,0.0065
Minced Garlic,1,0.0636,0.331,0.005
Bean Sprouts,0,0.0304,0.0594,0.0018
Spring Onions,0,0.0183,0.0734,0.0019
Tinned Tomatos,0,0.0088,0.0389,0.002
Chicken,2,0.186,0.0,0.151
Gruyere cheese,4,0.298,0.0036,0.3229999999999999
Kidney Beans,3,0.236,0.6,0.0083
Walnuts,6,0.152,0.1369999999999999,0.652
Baking Powder,0,0.001,0.241,0.0
Creme Fraiche,1,0.0244,0.0463,0.1939999999999999
coconut milk,1,0.0202,0.0281,0.213
Basmati Rice,3,0.0713,0.8,0.0066
Smoked Haddock,1,0.252,0.0,0.0096
Wood Ear Mushrooms,0,0.0309,0.0326,0.0034
Brie,3,0.208,0.0045,0.277
black pepper,2,0.104,0.64,0.0326
Ham,1,0.166,0.0363,0.088
Cold Water,0,0.0,0.0,0.0
Haddock,0,0.163,0.0,0.0045
Mirin,1,0.005,0.05,0.0
Frozen Peas,0,0.0521999999999999,0.136,0.004
Raw king prawns,0,0.136,0.0091,0.0101
Freshly chopped parsley,0,0.0297,0.0633,0.0079
Maple Syrup,2,0.0004,0.67,0.0006
Dark Brown Soft Sugar,3,0.0,1.0,0.0
Pecan Nuts,6,0.0917,0.139,0.72
Dark Chocolate Chips,5,0.0779,0.459,0.426
Black Treacle,0,0.0,0.0,0.0
Oatmeal,3,0.132,0.677,0.0652
Custard,1,0.0501999999999999,0.11,0.0458
Desiccated Coconut,3,0.0333,0.152,0.335
Almonds,5,0.212,0.216,0.499
Peas,0,0.0542,0.144,0.004
Curry Powder,3,0.143,0.5579999999999999,0.14
Minced Beef,1,0.216,0.0012,0.0481
Onions,0,0.011,0.0934,0.001
Beef,1,0.216,0.0012,0.0481
Lamb Kidney,0,0.157,0.0081999999999999,0.0295
Worcestershire Sauce,0,0.0,0.192,0.0
Oxtail,2,0.198,0.0,0.154
Broad Beans,0,0.0559999999999999,0.1169999999999999,0.006
Floury Potatoes,0,0.0204999999999999,0.175,0.0009
Bicarbonate Of Soda,0,0.0,0.0,0.0
Turkey Mince,1,0.197,0.0,0.0766
Cannellini Beans,3,0.2339999999999999,0.603,0.0085
Parsley,0,0.0297,0.0633,0.0079
Single Cream,1,0.0313,0.043,0.115
Noodles,3,0.142,0.713,0.0444
Apricot,0,0.0139999999999999,0.111,0.0039
Nutmeg,5,0.0584,0.493,0.363
Mustard Powder,5,0.261,0.281,0.362
Parmesan,3,0.358,0.0322,0.25
Strawberries,0,0.0067,0.0768,0.003
Blackberries,0,0.0139,0.0960999999999999,0.0049
Redcurrants,0,0.0,0.0,0.0
Mulukhiyah,0,0.0,0.0,0.0
Glace Cherry,0,0.0106,0.16,0.002
charlotte potatoes,0,0.0204999999999999,0.175,0.0009
Lamb Leg,2,0.185,0.0,0.144
Thyme,1,0.0556,0.244,0.0168
Fish Sauce,0,0.0506,0.0364,0.0001
Semi-skimmed Milk,0,0.0315,0.048,0.0325
White Fish Fillets,0,0.201,0.0,0.017
Jerusalem Artichokes,0,0.02,0.174,0.0001
Bulgur Wheat,3,0.123,0.7590000000000001,0.0133
Lamb Mince,2,0.166,0.0,0.2339999999999999
Bay Leaf,3,0.0761,0.75,0.0836
Cloves,2,0.0596999999999999,0.655,0.13
English Mustard,0,0.0374,0.0583,0.0334
Red Pepper Flakes,3,0.106,0.6990000000000001,0.0581
Celeriac,0,0.015,0.092,0.003
ginger cordial,3,0.001,0.322,0.003
Medjool dates,2,0.0181,0.75,0.0015
Lemon Juice,0,0.0034999999999999,0.069,0.0024
Red Wine Vinegar,0,0.0004,0.0027,0.0
Pine nuts,6,0.1369999999999999,0.131,0.684
rigatoni,3,0.13,0.747,0.0151
Tofu,0,0.0904,0.0285,0.0417
Salt Cod,2,0.628,0.0,0.0237
Ackee,0,0.0083,0.165,0.0044
Tabasco Sauce,0,0.0129,0.008,0.0076
Stout,0,0.0046,0.0355,0.0
Mozzarella,2,0.222,0.024,0.221
Buckwheat,3,0.132,0.715,0.034
Kale,0,0.0292,0.0442,0.0149
Cashew Nuts,5,0.182,0.302,0.438
Mixed Peel,2,0.003,0.663,0.0
Mascarpone,3,0.0615,0.0552,0.344
Cumin Seeds,3,0.178,0.442,0.223
Red Chilli powder,2,0.135,0.497,0.143
Biryani masala,2,0.0609,0.721,0.0868999999999999
Mayonnaise,6,0.0,0.0,0.77
Pumpkin,0,0.01,0.065,0.001
Chorizo,2,0.136,0.0378,0.251
Cream,3,0.0283999999999999,0.0283999999999999,0.361
vegan butter,8,0.0,0.0,1.0
soya milk,0,0.0165,0.072,0.0062
Shortening,8,0.0,0.0,1.0
Beef Shin,1,0.218,0.0,0.0385
Challots,0,0.0,0.0,0.0
Chestnut Mushroom,0,0.0309,0.0326,0.0034
Sugar Snap Peas,0,0.0279999999999999,0.0755,0.002
Raisins,2,0.033,0.793,0.0025
Tomato,0,0.0088,0.0389,0.002
Pretzels,3,0.1,0.804,0.0293
Caramel,3,0.046,0.77,0.081
Clotted Cream,3,0.0283999999999999,0.0283999999999999,0.361
Fettuccine,3,0.13,0.747,0.0151
Christmas Pudding,0,0.0,0.0,0.0
Coconut Cream,3,0.0363,0.0665,0.347
Tamarind Paste,2,0.0279999999999999,0.625,0.006
Massaman curry paste,1,0.05189076751,0.1734765629,0.05533137828
Water Chestnut,0,0.0139999999999999,0.239,0.001
Couscous,3,0.128,0.774,0.0064
Dried Oregano,2,0.09,0.6890000000000001,0.0428
Red Onions,0,0.011,0.0934,0.001
chopped parsley,0,0.0297,0.0633,0.0079
Blueberries,0,0.0074,0.145,0.0033
Cod,0,0.178,0.0,0.0067
Squid,0,0.156,0.0308,0.0138
Clams,0,0.147,0.0357,0.0096
Mussels,0,0.119,0.0369,0.0224
Baguette,2,0.108,0.519,0.0242
dark soft brown sugar,3,0.0012,0.981,0.0
rolled oats,3,0.1369999999999999,0.682,0.0687
Red Pepper,0,0.0099,0.0603,0.003
garlic powder,3,0.166,0.7270000000000001,0.0073
Eggs,1,0.126,0.0072,0.0951
White Chocolate Chips,5,0.0587,0.5920000000000001,0.321
Orange,0,0.0094,0.118,0.0012
Baked Beans,0,0.0475,0.211,0.0037
Cider,0,0.001,0.113,0.0013
Stilton Cheese,3,0.214,0.0234,0.287
Beef Fillet,2,0.198,0.0,0.179
Basil Leaves,0,0.0315,0.0265,0.0064
Creamed Corn,0,0.0327,0.187,0.0135
rice noodles,3,0.0595,0.802,0.0056
king prawns,0,0.136,0.0091,0.0101
Lard,9,0.0,0.0,1.0
Chopped Onion,0,0.011,0.0934,0.001
Rhubarb,0,0.009,0.0454,0.002
Cornstarch,3,0.0026,0.913,0.0005
Pecorino,3,0.318,0.0363,0.269
Mincemeat,1,0.012,0.42,0.008
Egg,1,0.126,0.0072,0.0951
Toor dal,1,0.072,0.239,0.0163999999999999
Ghee,8,0.0028,0.0,0.995
Pickle Juice,0,0.0071428571428571,0.0,0.0035714285714285
Sesame Seed Burger Buns,2,0.0977,0.501,0.0391
Lemons,0,0.011,0.0932,0.003
Haricot Beans,3,0.2339999999999999,0.603,0.0085
Roasted Vegetables,0,0.0333,0.135,0.0052
Lime,0,0.0069999999999999,0.105,0.002
lean minced beef,1,0.216,0.0012,0.0481
hot beef stock,0,0.0197,0.012,0.0009
Egg Plants,0,0.0098,0.0588,0.0018
Ground cumin,3,0.178,0.442,0.223
coco sugar,3,0.0,1.0,0.0
almond milk,0,0.0059,0.0115,0.011
vanilla,2,0.0006,0.126,0.0006
Goat Meat,1,0.206,0.0,0.0231
Green Chilli,0,0.02,0.0946,0.002
Paneer,0,0.111,0.0338,0.043
sultanas,3,0.0327999999999999,0.8,0.002
Bramley Apples,0,0.0026,0.138,0.0017
Candied Peel,2,0.003,0.663,0.0
Fries,0,0.0,0.0,0.0
Doner Meat,1,0.216,0.0012,0.0481
Gouda cheese,3,0.249,0.0222,0.2739999999999999
Mustard,0,0.0374,0.0583,0.0334
Chicken Stock Cube,0,0.0252,0.0353,0.012
Paccheri Pasta,3,0.13,0.747,0.0151
Prunes,2,0.0218,0.639,0.0038
Courgettes,0,0.0121,0.0311,0.0032
Rice Krispies,3,0.0675,0.8505,0.0204999999999999
Vermicelli,3,0.13,0.747,0.0151
Fennel,0,0.0124,0.073,0.002
Star Anise,3,0.176,0.5,0.159
White Fish,0,0.201,0.0,0.017
Sherry,1,0.002,0.1169999999999999,0.0
Sardines,1,0.204,0.0,0.0484
Bread,2,0.107,0.475,0.0453
Ground Beef,2,0.172,0.0,0.2
asparagus,0,0.022000000000000002,0.0388,0.0012
